Страна,Код страны,Код города,Город
Беларусь,375,2139,Городок (Витебская обл.)
Беларусь,375,152,Гродно
Беларусь,375,1716,Дзержинск (Минская обл.)
Беларусь,375,2333,Добруш (Гомельская обл.)
Беларусь,375,2157,Докшицы (Витебская обл.)
Беларусь,375,2248,Дрибин (Могилевская обл.)
Беларусь,375,1644,Дрогичин (Брестская обл.)
Беларусь,375,2137,Дубровно (Витебская обл.)
Беларусь,375,1563,Дятлово (Гродненская обл.)
Беларусь,375,2354,Ельск (Гомельская обл.)
Беларусь,375,1641,Жабинка (Брестская обл.)
Беларусь,375,2353,Житковичи (Гомельская обл.)
Беларусь,375,2334,Жлобин (Гомельская обл.)
Беларусь,375,1775,Жодино (Минская обл.)
Беларусь,375,1564,Зельва (Гродненская обл.)
Беларусь,375,1652,Иваново (Брестская обл.)
Беларусь,375,1645,Ивацевичи (Бресткая обл.)
Беларусь,375,1595,Ивье (Гродненская обл.)
Беларусь,375,2345,Калинковичи (Гомельская обл.)
Беларусь,375,1631,Каменец (Брестская обл.)
Беларусь,375,2237,Кировск (Могилевская обл.)
Беларусь,375,1793,Клецк (Минская обл.)
Беларусь,375,2244,Климовичи (Могилевская обл.)
Беларусь,375,2236,Кличев (Могилевская обл.)
Беларусь,375,1642,Кобрин (Брестская обл.)
Беларусь,375,1719,Копыль (Минская обл.)
Беларусь,375,1596,Кореличи (Гродненская обл.)
Беларусь,375,2337,Корма (Гомельская обл.)
Беларусь,375,2245,Костюковичи (Могилевская обл.)
Беларусь,375,2238,Краснополье (Могилевская обл.)
Беларусь,375,2241,Кричев (Могилевская обл.)
Беларусь,375,2234,Круглое (Могилевская обл.)
Беларусь,375,1796,Крупки (Минская обл.)
Беларусь,375,2356,Лельчицы (Гомельская обл.)
Беларусь,375,2132,Лепель (Витебская обл.)
Беларусь,375,154,Лида (Гродненская обл.)
Беларусь,375,2138,Лиозно (Витебская обл.)
Беларусь,375,2347,Лоев (Гомельская обл.)
Беларусь,375,1647,Лунинец (Брестская обл.)
Беларусь,375,1794,Любань (Минская обл.)
Беларусь,375,1633,Ляховичи (Брестская обл.)
Беларусь,375,1651,Малорита (Брестская обл.)
Беларусь,375,1713,Марьина Горка (Минская обл.)
Беларусь,375,17,Минск
Беларусь,375,2152,Миоры (Витебская обл.)
Беларусь,375,222,Могилев
Беларусь,375,236,Мозырь (Гомельская обл.)
Беларусь,375,176,Молодечно (Минская обл.)
Беларусь,375,1515,Мосты (Гродненская обл.)
Беларусь,375,2240,Мстиславль (Могилевская обл.)
Беларусь,375,2355,Наровля (Гомельская обл.)
Беларусь,375,1797,Нарочь (Минская обл.)
Беларусь,375,1770,Несвиж (Минская обл.)
Беларусь,375,1597,Новогрудок (Гродненская обл.)
Беларусь,375,214,Новополоцк (Витебская обл.)
Беларусь,375,2357,Октябрьский (Гомельская обл.)
Беларусь,375,216,Орша (Витебская обл.)
Беларусь,375,2235,Осиповичи (Могилевская обл.)
Беларусь,375,1591,Островец (Гродненская обл.)
Беларусь,375,1593,Ошмяны (Гродненская обл.)
Беларусь,375,2350,Петриков (Гомельская обл.)
Беларусь,375,165,Пинск (Брестская обл.)
Беларусь,375,1774,Плещеницы (Минская обл.)
Беларусь,375,2155,Поставы (Витебская обл.)
Беларусь,375,1632,Пружаны (Брестская обл.)
Беларусь,375,2340,Речица (Гомельская обл.)
Беларусь,375,2339,Рогачев (Гомельская обл.)
Беларусь,375,2159,Россоны (Витебская обл.)
Беларусь,375,2342,Светлогорск (Гомельская обл.)
Беларусь,375,1513,Свислочь (Гродненская обл.)
Беларусь,375,2135,Сенно (Витебская обл.)
Беларусь,375,2246,Славгород (Могилевская обл.)
Беларусь,375,1562,Слоним (Гродненская обл.)
Беларусь,375,1795,Слуцк (Минская обл.)
Беларусь,375,1776,Смолевичи (Минская обл.)
Беларусь,375,1592,Сморгонь (Гродненская обл.)
Беларусь,375,174,Солигорск (Минская обл.)
Беларусь,375,1792,Старые Дороги (Минская обл.)
Беларусь,375,1717,Столбцы (Минская обл.)
Беларусь,375,1655,Столин (Брестская обл.)
Беларусь,375,2136,Толочин (Витебская обл.)
Беларусь,375,1718,Узда (Минская обл.)
Беларусь,375,2158,Ушачи (Витебская обл.)
Беларусь,375,2346,Хойники (Гомельская обл.)
Беларусь,375,2247,Хотимск (Могилевская обл.)
Беларусь,375,2242,Чаусы (Могилевская обл.)
Беларусь,375,2133,Чашники (Витебская обл.)
Беларусь,375,1714,Червень (Минская обл.)
Беларусь,375,2243,Чериков (Могилевская обл.)
Беларусь,375,2332,Чечерск (Гомельская обл.)
Беларусь,375,2154,Шарковщина (Витебская обл.)
Беларусь,375,2239,Шклов (Могилевская обл.)
Беларусь,375,2130,Шумилино (Витебская обл.)
Беларусь,375,1514,Щучин (Гродненская обл.)
Беларусь,375,24,Белтелеком (Максифон)
Беларусь,375,25,life:)
Беларусь,375,291,Velcom
Беларусь,375,292,МТС
Беларусь,375,293,Velcom
Беларусь,375,294,Velcom или Diallog
Беларусь,375,295,МТС
Беларусь,375,296,Velcom
Беларусь,375,297,МТС
Беларусь,375,298,МТС
Беларусь,375,299,Velcom (ПРИВЕТ™)
Беларусь,375,33,МТС
Беларусь,375,44,Velcom
Казахстан,7,72131,Абай (Карагандинская обл.)
Казахстан,7,72532,Абай (Южно-Казахстанской обл.)
Казахстан,7,71033,Агадырь (Карагандинская обл.)
Казахстан,7,72438,Айтеке Би (Кызылординская обл.)
Казахстан,7,72640,Ак Суек
Казахстан,7,71143,Акжаик (Западно-Казахстанская обл.)
Казахстан,7,72344,Акжар (Восточно-Казахстанская обл.)
Казахстан,7,71638,Акколь (Акмолинская обл.)
Казахстан,7,72641,Акколь (Жамбылская обл.)
Казахстан,7,71839,Акку (Павлодарская обл.)
Казахстан,7,71231,Аккыстау (Атырауская обл.)
Казахстан,7,71340,Акраб (Актюбинская обл.)
Казахстан,7,71133,Аксай (Западно-Казахстанская обл.)
Казахстан,7,71837,Аксу (Павлодарская обл.)
Казахстан,7,71031,Аксу - Аюлы (Карагандинская обл.)
Казахстан,7,72346,Аксуат (Восточно-Казахстанская обл.)
Казахстан,7,72531,Аксукент (Южно-Казахстанской обл.)
Казахстан,7,7292,Актау (Мангистауская обл.)
Казахстан,7,7132,Актобе (Актюбинская обл.)
Казахстан,7,71037,Актогай (Карагандинская обл.)
Казахстан,7,71841,Актогай (Павлодарская обл.)
Казахстан,7,72757,Акши (Алматинская обл.)
Казахстан,7,71337,Алга (Актюбинская обл.)
Казахстан,7,727,Алматы
Казахстан,7,71440,Амангельды (Костанайская обл.)
Казахстан,7,72330,Андреевка (Восточно-Казахстанская обл.)
Казахстан,7,72433,Аральск (Кызылординская обл.)
Казахстан,7,71430,Аркалык (Костанайская обл.)
Казахстан,7,71644,Аршалы (Акмолинская обл.)
Казахстан,7,72540,Арысь (Южно-Казахстанской обл.)
Казахстан,7,72633,Аса (Жамбылская обл.)
Казахстан,7,7172,Астана (Акмолинская обл.)
Казахстан,7,71641,Астраханка (Акмолинская обл.)
Казахстан,7,72542,Асыката (Южно-Казахстанской обл.)
Казахстан,7,71030,Атасу (Карагандинская обл.)
Казахстан,7,71643,Атбасар (Акмолинская обл.)
Казахстан,7,7122,Атырау
Казахстан,7,72237,Аягоз (Восточно-Казахстанской обл.)
Казахстан,7,71342,Бадамша (Актюбинская обл.)
Казахстан,7,72773,Баканас (Алматинская обл.)
Казахстан,7,71640,Балкашино (Акмолинская обл.)
Казахстан,7,72838,Балпык Би (Алматинская обл.)
Казахстан,7,71036,Балхаш (Карагандинская обл.)
Казахстан,7,72246,Баршатас (Восточно-Казахстанской обл.)
Казахстан,7,72635,Бауыржана Момышулы (Жамбылская обл.)
Казахстан,7,71840,Баянаул (Павлодарская обл.)
Казахстан,7,72932,Бейнеу (Мангистауская обл.)
Казахстан,7,72236,Бескарагай (Восточно-Казахстанской обл.)
Казахстан,7,71443,Боровской (Костанайская обл.)
Казахстан,7,72351,Бородулиха (Восточно-Казахстанская обл.)
Казахстан,7,72154,Ботакара (Карагандинская обл.)
Казахстан,7,71531,Булаево (Северо-Казахстанская обл.)
Казахстан,7,71630,Бурабай (Акмолинская обл.)
Казахстан,7,72138,Габидена Мустафина (Карагандинская обл.)
Казахстан,7,71233,Ганюшкино (Атырауская обл.)
Казахстан,7,72331,Глубокое (Восточно-Казахстанская обл.)
Казахстан,7,71131,Дарьинское (Западно-Казахстанская обл.)
Казахстан,7,71434,Денисовка (Костанайская обл.)
Казахстан,7,71648,Державинск (Акмолинская обл.)
Казахстан,7,71235,Доссор (Атырауская обл.)
Казахстан,7,71642,Егендыколь (Акмолинская обл.)
Казахстан,7,72147,Егиндыбулак (Карагандинская обл.)
Казахстан,7,71633,Ерейментау (Акмолинская обл.)
Казахстан,7,72775,Есик (Алматинская обл.)
Казахстан,7,71647,Есиль (Акмолинская обл.)
Казахстан,7,71043,"Жайрем, поселок (Карагандинская обл.)"
Казахстан,7,71040,Жайрем гок (Карагандинская обл.)
Казахстан,7,71635,Жаксы (Акмолинская обл.)
Казахстан,7,72431,Жалагаш (Кызылординская обл.)
Казахстан,7,71138,Жалпактал (Западно-Казахстанская обл.)
Казахстан,7,72435,Жанакорган (Кызылординская обл.)
Казахстан,7,72934,Жанаозен (Мангистауская обл.)
Казахстан,7,72634,Жанатас (Жамбылская обл.)
Казахстан,7,71141,Жангала (Западно-Казахстанская обл.)
Казахстан,7,71135,Жанибек (Западно-Казахстанская обл.)
Казахстан,7,72832,Жансугуров (Алматинская обл.)
Казахстан,7,72831,Жаркент (Алматинская обл.)
Казахстан,7,71042,Жарык (Карагандинская обл.)
Казахстан,7,71034,Жезды (Карагандинская обл.)
Казахстан,7,7102,Жезказган
Казахстан,7,71831,Железинка (Павлодарская обл.)
Казахстан,7,72935,Жетыбай (Мангистауская обл.)
Казахстан,7,72534,Жетысай (Южно-Казахстанской обл.)
Казахстан,7,71435,Житикара (Костанайская обл.)
Казахстан,7,72437,Жосалы (Кызылординская обл.)
Казахстан,7,71134,Жымпиты (Западно-Казахстанская обл.)
Казахстан,7,72340,Зайсан (Восточно-Казахстанская обл.)
Казахстан,7,71455,Затобольск (Костанайская обл.)
Казахстан,7,71632,Зеренда (Акмолинская обл.)
Казахстан,7,72335,Зыряновск (Восточно-Казахстанская обл.)
Казахстан,7,71234,Индерборский (Атырауская обл.)
Казахстан,7,71343,Иргиз (Актюбинская обл.)
Казахстан,7,71832,Иртышск (Павлодарская обл.)
Казахстан,7,72837,Кабанбай (Алматинская обл.)
Казахстан,7,71144,Казталовка (Западно-Казахстанская обл.)
Казахстан,7,72539,Казыгурт (Южно-Казахстанской обл.)
Казахстан,7,72256,Кайнар (Восточно-Казахстанской обл.)
Казахстан,7,72347,Калбатау (Восточно-Казахстанская обл.)
Казахстан,7,71437,Камысты (Костанайская обл.)
Казахстан,7,71333,Кандыагаш (Актюбинская обл.)
Казахстан,7,72841,Капал (Алматинская обл.)
Казахстан,7,72772,Капчагай (Алматинская обл.)
Казахстан,7,71441,Карабалык (Костанайская обл.)
Казахстан,7,72836,Карабулак (Алматинская обл.)
Казахстан,7,71339,Карабутак (Актюбинская обл.)
Казахстан,7,7212,Караганда
Казахстан,7,71032,Каражал (Карагандинская обл.)
Казахстан,7,71454,Караменды (Костанайская обл.)
Казахстан,7,71452,Карасу (Костанайская обл.)
Казахстан,7,72644,Каратау (Жамбылская обл.)
Казахстан,7,71145,Каратобе (Западно-Казахстанская обл.)
Казахстан,7,72252,Караул (Восточно-Казахстанской обл.)
Казахстан,7,71345,Караулкелды (Актюбинская обл.)
Казахстан,7,72146,Каркаралинск (Карагандинская обл.)
Казахстан,7,72771,Каскелен (Алматинская обл.)
Казахстан,7,72342,Катон - Карагай
Казахстан,7,71456,Качар (Костанайская обл.)
Казахстан,7,72777,Кеген (Алматинская обл.)
Казахстан,7,72536,Кентау (Южно-Казахстанской обл.)
Казахстан,7,72144,Киевка (Карагандинская обл.)
Казахстан,7,71542,Кишкенеколь (Северо-Казахстанская обл.)
Казахстан,7,72842,Когалы (Алматинская обл.)
Казахстан,7,72348,Кокпекты (Восточно-Казахстанская обл.)
Казахстан,7,71838,Коктобе (Павлодарская обл.)
Казахстан,7,72561,Коммерческая Сеть
Казахстан,7,71661,Коммерческая Сеть
Казахстан,7,71637,Коргалжын (Акмолинская обл.)
Казахстан,7,72636,Кордай (Жамбылская обл.)
Казахстан,7,7142,Костанай
Казахстан,7,7162,Красный Яр (Акмолинская обл.)
Казахстан,7,72631,Кулан (Жамбылская обл.)
Казахстан,7,71237,Кульсары (Атырауская обл.)
Казахстан,7,72251,Курчатов (Восточно-Казахстанской обл.)
Казахстан,7,72339,Курчум (Восточно-Казахстанская обл.)
Казахстан,7,72937,Курык (Мангистауская обл.)
Казахстан,7,71453,Кушмурум (Костанайская обл.)
Казахстан,7,7242,Кызылорда
Казахстан,7,72547,Ленгер (Южно-Казахстанской обл.)
Казахстан,7,71546,Ленинградское (Северо-Казахстанская обл.)
Казахстан,7,72843,Лепсы (Алматинская обл.)
Казахстан,7,71433,Лисаковск (Костанайская обл.)
Казахстан,7,72239,Маканчи (Восточно-Казахстанской обл.)
Казахстан,7,71239,Макат (Атырауская обл.)
Казахстан,7,71646,Макинск (Акмолинская обл.)
Казахстан,7,71541,Мамлютка (Северо-Казахстанская обл.)
Казахстан,7,71331,Мартук (Актюбинская обл.)
Казахстан,7,71236,Махамбет (Атырауская обл.)
Казахстан,7,72632,Мерке (Жамбылская обл.)
Казахстан,7,71238,Миялы (Атырауская обл.)
Казахстан,7,718235,Мойылды (Павлодарская обл.)
Казахстан,7,72642,Мойынкум (Жамбылская обл.)
Казахстан,7,72148,Молодежное (Карагандинская обл.)
Казахстан,7,72338,Молодежный (Восточно-Казахстанская обл.)
Казахстан,7,72779,Нарынкол (Алматинская обл.)
Казахстан,7,72353,Новая Шульба (Восточно-Казахстанская обл.)
Казахстан,7,71448,Октябрьское (Костанайская обл.)
Казахстан,7,72149,Осакаровка (Карагандинская обл.)
Казахстан,7,7272,Отеген Батыра (Алматинская обл.)
Казахстан,7,72752,Отеген Батыра (Алматинская обл.)
Казахстан,7,7182,Павлодар
Казахстан,7,71845,Павлодарский Район
Казахстан,7,71130,Переметное (Западно-Казахстанская обл.)
Казахстан,7,7152,Петропавловск Казахский
Казахстан,7,71544,Пресновка (Северо-Казахстанская обл.)
Казахстан,7,718455,Пресное (Павлодарская обл.)
Казахстан,7,71039,Приозерск (Карагандинская обл.)
Казахстан,7,71651,Приречное (Акмолинская обл.)
Казахстан,7,72336,Риддер (Восточно-Казахстанская обл.)
Казахстан,7,71431,Рудный (Костанайская обл.)
Казахстан,7,71535,Рузаевка (Северо-Казахстанская обл.)
Казахстан,7,71140,Сайхин (Западно-Казахстанская обл.)
Казахстан,7,72333,Самарское (Восточно-Казахстанская обл.)
Казахстан,7,72137,Сарань (Карагандинская обл.)
Казахстан,7,72839,Сарканд (Алматинская обл.)
Казахстан,7,72537,Сарыагаш (Южно-Казахстанской обл.)
Казахстан,7,72637,Сарыкемер (Жамбылская обл.)
Казахстан,7,71451,Сарыколь (Костанайская обл.)
Казахстан,7,72840,Сарыозек (Алматинская обл.)
Казахстан,7,71063,Сатпаев (Карагандинская обл.)
Казахстан,7,72639,Саудакент (Жамбылская обл.)
Казахстан,7,71533,Саумалколь (Северо-Казахстанская обл.)
Казахстан,7,7222,Семей
Казахстан,7,71534,Сергеевка (Северо-Казахстанская обл.)
Казахстан,7,72337,Серебрянск (Восточно-Казахстанская обл.)
Казахстан,7,72541,Славянка (Южно-Казахстанской обл.)
Казахстан,7,71532,Смирново (Северо-Казахстанская обл.)
Казахстан,7,71538,Соколовка (Северо-Казахстанская обл.)
Казахстан,7,760,Спутниковая Сеть
Казахстан,7,762,Спутниковая Сеть
Казахстан,7,71645,Степногорск (Акмолинская обл.)
Казахстан,7,71639,Степняк (Акмолинская обл.)
Казахстан,7,72334,Таврическое (Восточно-Казахстанская обл.)
Казахстан,7,71142,Тайпак (Западно-Казахстанская обл.)
Казахстан,7,72774,Талгар (Алматинская обл.)
Казахстан,7,7282,Талдыкорган
Казахстан,7,7262,Тараз
Казахстан,7,71436,Тарановское (Костанайская обл.)
Казахстан,7,71139,Таскала (Западно-Казахстанская обл.)
Казахстан,7,72835,Текели (Алматинская обл.)
Казахстан,7,72530,Темирлановка (Южно-Казахстанской обл.)
Казахстан,7,7213,Темиртау (Карагандинская обл.)
Казахстан,7,71230,Тенгиз (Атырауская обл.)
Казахстан,7,72343,Теректы (Восточно-Казахстанская обл.)
Казахстан,7,71833,Теренколь (Павлодарская обл.)
Казахстан,7,72436,Теренозек (Кызылординская обл.)
Казахстан,7,71537,Тимирязево (Северо-Казахстанская обл.)
Казахстан,7,72638,Толе Би (Жамбылская обл.)
Казахстан,7,72153,Топар (Карагандинская обл.)
Казахстан,7,71439,Торгай (Костанайская обл.)
Казахстан,7,72538,Турара Рыскулова (Южно-Казахстанской обл.)
Казахстан,7,72533,Туркестан (Южно-Казахстанской обл.)
Казахстан,7,71445,Убаганское (Костанайская обл.)
Казахстан,7,71444,Узунколь (Костанайская обл.)
Казахстан,7,72770,Узынагаш (Алматинская обл.)
Казахстан,7,71332,Уил (Актюбинская обл.)
Казахстан,7,72341,Улкен Нарын (Восточно-Казахстанская обл.)
Казахстан,7,71035,Улытау (Карагандинская обл.)
Казахстан,7,7112,Уральск
Казахстан,7,72230,Урджар (Восточно-Казахстанской обл.)
Казахстан,7,71834,Успенка (Павлодарская обл.)
Казахстан,7,7232,Усть-Каменогорск
Казахстан,7,72833,Ушарал (Алматинская обл.)
Казахстан,7,72834,Уштобе (Алматинская обл.)
Казахстан,7,71132,Федоровка (Западно-Казахстанская обл.)
Казахстан,7,71442,Федоровка (Костанайская обл.)
Казахстан,7,763,Фиксированная Связь
Казахстан,7,764,Фиксированная Связь
Казахстан,7,72938,Форт Шевченко (Мангистауская обл.)
Казахстан,7,71341,Хобда (Актюбинская обл.)
Казахстан,7,71336,Хромтау (Актюбинская обл.)
Казахстан,7,71136,Чапаев (Западно-Казахстанская обл.)
Казахстан,7,71137,Чингирлау (Западно-Казахстанская обл.)
Казахстан,7,71536,Чкалово (Северо-Казахстанская обл.)
Казахстан,7,72778,Чунджа (Алматинская обл.)
Казахстан,7,71335,Шалкар (Актюбинская обл.)
Казахстан,7,72345,Шар (Восточно-Казахстанская обл.)
Казахстан,7,71836,Шарбакты (Павлодарская обл.)
Казахстан,7,72535,Шардара (Южно-Казахстанской обл.)
Казахстан,7,72544,Шаульдер (Южно-Казахстанской обл.)
Казахстан,7,72156,Шахтинск (Карагандинская обл.)
Казахстан,7,71038,Шашубай (Карагандинская обл.)
Казахстан,7,72548,Шаян (Южно-Казахстанской обл.)
Казахстан,7,72776,Шелек (Алматинская обл.)
Казахстан,7,72332,Шемонаиха (Восточно-Казахстанская обл.)
Казахстан,7,72931,Шетпе (Мангистауская обл.)
Казахстан,7,72432,Шиели (Кызылординская обл.)
Казахстан,7,72546,Шолаккорган (Южно-Казахстанской обл.)
Казахстан,7,71631,Шортанды (Акмолинская обл.)
Казахстан,7,72643,Шу (Жамбылская обл.)
Казахстан,7,71346,Шубаркудук (Актюбинская обл.)
Казахстан,7,72257,Шульбинск (Восточно-Казахстанской обл.)
Казахстан,7,7252,Шымкент
Казахстан,7,71636,Щучинск (Акмолинская обл.)
Казахстан,7,7187,Экибастуз (Павлодарская обл.)
Казахстан,7,71334,Эмба (Актюбинская обл.)
Казахстан,7,71543,Явленка (Восточно-Казахстанская обл.)
Казахстан,7,700,АЛТЕЛ
Казахстан,7,701,Кселл
Казахстан,7,702,Кселл
Казахстан,7,705,ТОО «КаР-Тел»
Казахстан,7,707,ТОО «Мобайл Телеком-Сервис» (Tele2)
Казахстан,7,708,АЛТЕЛ
Казахстан,7,747,ТОО «Мобайл Телеком-Сервис» (Tele2)
Казахстан,7,750,АО «Казахтелеком» (коммутируемый доступ)
Казахстан,7,751,АО «Казахтелеком» (передача данных)
